epoch,split,query_idx,h,r,t,rank,is_reciprocal
0,val,204,277,1,445,2576,0
0,val,205,1432,0,2087,2019,0
0,val,206,1994,1,187,366,0
0,val,207,68,4,1601,2088,0
0,val,208,2580,0,1074,2721,0
0,val,209,683,1,198,2453,0
0,val,210,2434,0,634,878,0
0,val,211,1756,1,836,1190,0
0,val,212,62,4,1624,2545,0
0,val,213,653,1,652,1166,0
0,val,214,455,1,454,1865,0
0,val,215,1952,1,1494,1275,0
0,val,216,832,1,1325,2213,0
0,val,217,2589,0,377,1969,0
0,val,218,2419,0,1197,71,0
0,val,219,1928,1,1533,2066,0
0,val,220,1008,1,668,1653,0
0,val,221,1755,1,307,1072,0
0,val,222,250,1,429,381,0
0,val,223,602,1,595,367,0
0,val,224,1184,0,1682,10,0
0,val,225,1256,1,54,296,0
0,val,226,480,0,1199,2380,0
0,val,227,1171,1,855,565,0
0,val,228,2616,4,456,1502,0
0,val,229,963,0,479,770,0
0,val,230,435,1,1684,1449,0
0,val,231,2427,1,32,1588,0
0,val,232,2399,1,2543,2504,0
0,val,233,2344,1,225,2456,0
0,val,234,1449,1,2381,2582,0
0,val,235,2284,1,1505,2527,0
0,val,236,881,0,110,2220,0
0,val,237,330,5,1783,2188,0
0,val,238,585,1,2508,1887,0
0,val,239,1969,0,51,525,0
0,val,240,223,5,1306,2425,0
0,val,241,2637,0,1724,1130,0
0,val,242,672,1,345,952,0
0,val,243,912,1,1933,2420,0
0,val,244,29,1,1485,1206,0
0,val,245,699,0,2452,1378,0
0,val,246,791,4,2343,2415,0
0,val,247,2444,2,514,912,0
0,val,248,183,0,401,290,0
0,val,249,380,0,1729,586,0
0,val,250,997,1,1707,904,0
0,val,251,312,0,983,2402,0
0,val,252,546,4,620,2550,0
0,val,253,1366,1,2507,1407,0
0,val,254,371,0,1357,560,0
0,val,255,390,1,881,317,0
0,val,256,106,1,268,147,0
0,val,257,941,1,2144,2174,0
0,val,258,114,0,692,723,0
0,val,259,687,0,2496,1831,0
0,val,260,133,1,261,2413,0
0,val,261,659,0,143,624,0
0,val,262,783,0,1049,2663,0
0,val,263,612,0,88,1347,0
0,val,264,1705,1,39,348,0
0,val,265,1826,1,962,2352,0
0,val,266,25,1,24,422,0
0,val,267,1255,4,2604,980,0
0,val,268,1348,0,1596,2271,0
0,val,269,2250,1,2249,1432,0
0,val,270,1420,1,853,43,0
0,val,271,2056,1,2220,2398,0
0,val,272,103,0,344,2092,0
0,val,273,2231,0,888,2733,0
0,val,274,595,0,1347,1698,0
0,val,275,39,1,366,1512,0
0,val,276,1165,0,1186,2607,0
0,val,277,674,1,673,628,0
0,val,278,1402,1,1611,2450,0
0,val,279,528,0,1199,2377,0
0,val,280,1104,1,1857,2663,0
0,val,281,1266,0,545,641,0
0,val,282,2695,0,1,45,0
0,val,283,868,4,2458,1165,0
0,val,284,1654,1,158,1535,0
0,val,285,940,1,939,1411,0
0,val,286,192,1,453,71,0
0,val,287,115,1,336,553,0
0,val,288,450,0,1631,1896,0
0,val,289,1367,1,2525,2554,0
0,val,290,239,0,2304,2145,0
0,val,291,713,1,83,1998,0
0,val,292,569,2,1906,625,0
0,val,293,1191,1,29,1522,0
0,val,294,112,0,2256,1952,0
0,val,295,1494,1,1299,1853,0
0,val,296,1753,1,583,1876,0
0,val,297,2185,1,586,2318,0
0,val,298,1281,1,2301,2369,0
0,val,299,1259,1,212,2132,0
0,val,300,971,1,991,691,0
0,val,301,85,1,469,2296,0
0,val,302,2514,0,357,1580,0
0,val,303,986,1,1814,2494,0
0,val,304,1367,1,971,407,0
0,val,305,401,1,1060,2384,0
0,val,306,2549,0,2658,2609,0
0,val,307,1621,2,1620,2391,0
0,val,308,474,4,2146,976,0
0,val,309,2564,0,371,1162,0
0,val,310,2608,0,141,66,0
0,val,311,1609,1,25,1059,0
0,val,312,1974,0,1199,2385,0
0,val,313,2624,1,2122,1419,0
0,val,314,2338,0,1217,1811,0
0,val,315,339,0,383,1342,0
0,val,316,2207,1,2013,2695,0
0,val,317,116,1,115,1254,0
0,val,318,2370,1,2369,1206,0
0,val,319,1574,1,328,1102,0
0,val,320,717,5,472,1266,0
0,val,321,1566,1,960,215,0
0,val,322,807,5,1373,2466,0
0,val,323,2220,1,2056,1900,0
0,val,324,2008,1,2489,2472,0
0,val,325,1057,1,598,297,0
0,val,326,147,1,146,2660,0
0,val,327,2547,0,1732,2379,0
0,val,328,1037,1,189,2603,0
0,val,329,1489,1,1708,1719,0
0,val,330,826,1,1523,1003,0
0,val,331,719,2,81,2647,0
0,val,332,1030,1,1029,1427,0
0,val,333,1992,1,687,2668,0
0,val,334,936,1,2181,2104,0
0,val,335,2644,0,1066,389,0
0,val,336,1939,1,551,1713,0
0,val,337,1054,1,2607,2471,0
0,val,338,1024,1,1284,651,0
0,val,339,791,4,2223,2689,0
0,val,340,1092,1,2132,233,0
0,val,341,598,1,2020,2081,0
0,val,342,1065,1,388,284,0
0,val,343,997,2,1620,2694,0
0,val,344,146,1,2401,831,0
0,val,345,689,5,971,1075,0
0,val,346,2388,0,1358,1564,0
0,val,347,1328,1,2600,2308,0
0,val,348,918,5,2674,1337,0
0,val,349,2511,1,1423,1468,0
0,val,350,2144,1,2143,2555,0
0,val,351,1097,2,891,2688,0
0,val,352,2085,2,1834,2245,0
0,val,353,1877,0,2056,2075,0
0,val,354,1127,0,2467,1561,0
0,val,355,2482,1,2481,2058,0
0,val,356,83,1,1551,1440,0
0,val,357,666,0,164,2451,0
0,val,358,1635,1,1167,1441,0
0,val,359,416,1,530,196,0
0,val,360,1294,0,1634,1593,0
0,val,361,595,1,594,1477,0
0,val,362,2665,1,741,2654,0
0,val,363,538,0,1211,2147,0
0,val,364,23,1,258,988,0
0,val,365,151,1,2606,2469,0
0,val,366,779,0,2692,924,0
0,val,367,1734,5,518,2097,0
0,val,368,991,1,150,95,0
0,val,369,458,1,1641,2167,0
0,val,370,1551,1,83,2441,0
0,val,371,2680,1,126,141,0
0,val,372,910,0,377,1971,0
0,val,373,1032,2,514,1625,0
0,val,374,2115,4,2079,1278,0
0,val,375,1984,1,2688,2560,0
0,val,376,963,5,221,1191,0
0,val,377,145,0,2347,1934,0
0,val,378,1203,0,1437,781,0
0,val,379,499,4,1545,13,0
0,val,380,1679,0,834,2678,0
0,val,381,51,1,1265,2063,0
0,val,382,664,3,2201,1240,0
0,val,383,2123,0,2157,1238,0
0,val,384,217,0,832,348,0
0,val,385,2514,1,4,1466,0
0,val,386,1623,1,1775,2611,0
0,val,387,595,1,602,1408,0
0,val,388,868,4,499,2628,0
0,val,389,1225,1,790,2312,0
0,val,390,1583,4,1959,1686,0
0,val,391,425,0,634,894,0
0,val,392,243,0,62,1962,0
0,val,393,523,1,875,423,0
0,val,394,2662,1,1930,2327,0
0,val,395,385,1,85,2317,0
0,val,396,714,1,858,897,0
0,val,397,2638,1,95,1576,0
0,val,398,1397,1,1177,2662,0
0,val,399,2657,1,1814,2618,0
0,val,400,1953,1,2013,2715,0
0,val,401,371,1,2036,1342,0
0,val,402,2696,1,176,480,0
0,val,403,2456,1,2260,2284,0
0,val,404,1546,0,1,65,0
0,val,405,992,3,1888,7,0
0,val,406,2122,1,2624,306,0
0,val,407,222,1,963,1395,0
0,val,408,875,1,1828,2397,0
0,val,409,462,1,172,2499,0
0,val,410,659,1,658,2660,0
0,val,411,646,4,2360,448,0
0,val,412,655,4,2184,1436,0
0,val,413,829,1,23,23,0
0,val,414,2195,1,1099,1007,0
0,val,415,1963,1,1299,1323,0
0,val,416,2197,1,45,2658,0
0,val,417,2015,0,1348,2148,0
0,val,418,616,1,1647,2190,0
0,val,419,60,1,2702,2597,0
0,val,420,2433,0,930,1690,0
0,val,421,2014,0,328,1387,0
0,val,422,2673,1,545,368,0
0,val,423,1262,4,1694,883,0
0,val,424,32,0,2518,1008,0
0,val,425,1045,1,1044,2501,0
0,val,426,158,1,138,2645,0
0,val,427,2257,1,269,1200,0
0,val,428,1388,0,1239,2313,0
0,val,429,1898,0,625,585,0
0,val,430,541,1,1196,146,0
0,val,431,2434,1,2301,1749,0
0,val,432,990,1,2473,1453,0
0,val,433,912,1,462,1485,0
0,val,434,611,1,2103,852,0
0,val,435,799,1,1570,647,0
0,val,436,1757,0,1957,349,0
0,val,437,898,1,1256,79,0
0,val,438,77,0,240,2329,0
0,val,439,1717,1,1825,2614,0
0,val,440,2418,1,768,434,0
0,val,441,952,1,1769,1032,0
0,val,442,1059,1,1317,728,0
0,val,443,1028,1,1444,1707,0
0,val,444,1689,1,1338,2699,0
0,val,445,1437,1,1157,1780,0
0,val,446,2679,1,4,1368,0
0,val,447,205,1,28,1435,0
0,val,448,376,0,1357,918,0
0,val,449,2058,0,789,941,0
0,val,450,1988,5,1569,2574,0
0,val,451,2231,1,1578,2018,0
0,val,452,377,0,1456,2252,0
0,val,453,1060,1,673,281,0
0,val,454,1299,1,1963,891,0
0,val,455,2033,0,2620,562,0
0,val,456,1590,1,472,1591,0
0,val,457,419,1,418,2371,0
0,val,458,1193,1,2096,1566,0
0,val,459,1393,1,242,1912,0
0,val,460,746,1,1399,2040,0
0,val,461,2153,1,863,682,0
0,val,462,1176,5,2693,168,0
0,val,463,2119,1,579,232,0
0,val,464,882,1,467,538,0
0,val,465,2646,0,1154,1901,0
0,val,466,467,1,1899,905,0
0,val,467,523,1,522,1014,0
0,val,468,20,1,311,2495,0
0,val,469,211,1,210,2473,0
0,val,470,2638,0,478,1470,0
0,val,471,1640,5,2065,1834,0
0,val,472,2389,5,359,81,0
0,val,473,991,1,1213,426,0
0,val,474,196,1,1902,2390,0
0,val,475,557,1,2073,2334,0
0,val,476,980,0,401,223,0
0,val,477,1260,1,1975,1885,0
0,val,478,2074,0,2391,1670,0
0,val,479,509,0,1586,2160,0
0,val,480,1236,1,380,408,0
0,val,481,2573,0,94,78,0
0,val,482,1641,0,879,1039,0
0,val,483,1293,1,2307,1272,0
0,val,484,211,1,559,256,0
0,val,485,18,1,1321,2000,0
0,val,486,471,0,1461,1877,0
0,val,487,608,1,69,2167,0
0,val,488,1245,0,1050,1596,0
0,val,489,97,1,2708,2312,0
0,val,490,1931,0,733,2257,0
0,val,491,1351,0,1853,577,0
0,val,492,209,1,242,2081,0
0,val,493,2368,0,569,9,0
0,val,494,984,0,135,2574,0
0,val,495,213,0,879,1079,0
0,val,496,2451,1,21,631,0
0,val,497,2553,0,794,1474,0
0,val,498,482,1,481,2700,0
0,val,499,2202,3,2348,1121,0
0,val,500,1496,5,942,1281,0
0,val,501,2334,1,141,410,0
0,val,502,1703,1,1702,2642,0
0,val,503,2024,1,294,1706,0
0,val,504,2614,0,565,2489,0
0,val,505,230,1,370,170,0
0,val,506,2324,1,253,2193,0
0,val,507,378,1,1157,1742,0
0,val,508,1634,1,2084,2474,0
0,val,509,2382,1,1591,2557,0
0,val,510,514,2,513,2659,0
0,val,511,1859,5,1171,217,0
0,val,512,333,1,1626,2281,0
0,val,513,1697,4,1730,435,0
0,val,514,1243,2,597,2105,0
0,val,515,18,1,2707,2309,0
0,val,516,2179,0,457,2670,0
0,val,517,2213,0,1971,2389,0
0,val,518,1418,1,1074,2553,0
0,val,519,791,4,2380,2346,0
0,val,520,867,2,1032,2457,0
0,val,521,202,1,1202,886,0
0,val,522,1896,0,135,2588,0
0,val,523,48,0,2214,2458,0
0,val,524,2459,1,45,2652,0
0,val,525,2452,0,2349,2591,0
0,val,526,1490,1,2116,481,0
0,val,527,2188,0,1186,2645,0
0,val,528,327,1,2495,1023,0
0,val,529,2279,0,403,2716,0
0,val,530,2420,1,1161,2685,0
0,val,531,1088,7,1087,13,0
0,val,532,2292,0,1358,1573,0
0,val,533,1662,1,31,2137,0
0,val,534,1080,1,725,96,0
0,val,535,453,1,685,780,0
0,val,536,1579,1,844,2509,0
0,val,537,1501,1,1072,882,0
0,val,538,715,1,954,1996,0
0,val,539,2102,1,1034,833,0
0,val,540,2688,0,1436,432,0
0,val,541,1620,2,438,2481,0
0,val,542,222,0,2533,2139,0
0,val,543,2696,0,2323,743,0
0,val,544,757,1,1832,2277,0
0,val,545,2374,1,810,2248,0
0,val,546,1291,4,1409,808,0
0,val,547,1565,5,926,1771,0
0,val,548,2670,0,1950,878,0
0,val,549,79,2,984,803,0
0,val,550,718,5,717,2655,0
0,val,551,1356,0,879,863,0
0,val,552,427,5,390,129,0
0,val,553,12,1,2431,2211,0
0,val,554,1500,1,2694,2483,0
0,val,555,422,1,621,2516,0
0,val,556,912,1,64,1407,0
0,val,557,1373,5,807,1735,0
0,val,558,941,5,2153,1097,0
0,val,559,1612,0,432,1968,0
0,val,560,1544,1,1249,1616,0
0,val,561,223,1,2088,2061,0
0,val,562,84,1,1552,2552,0
0,val,563,2135,0,38,1762,0
0,val,564,700,2,2427,153,0
0,val,565,2655,1,2398,641,0
0,val,566,91,2,770,2571,0
0,val,567,1444,1,1443,2578,0
0,val,568,2115,4,1880,2050,0
0,val,569,1135,1,174,130,0
0,val,570,253,1,2324,67,0
0,val,571,290,0,452,1193,0
0,val,572,2673,5,1401,2032,0
0,val,573,724,1,169,2377,0
0,val,574,2485,0,18,90,0
0,val,575,2221,1,2536,2626,0
0,val,576,1392,1,1380,2393,0
0,val,577,1830,1,1746,2589,0
0,val,578,2031,0,2663,944,0
0,val,579,1941,4,2612,803,0
0,val,580,2297,4,2449,1701,0
0,val,581,2437,1,662,2426,0
0,val,582,176,1,2321,2062,0
0,val,583,546,4,2022,1148,0
0,val,584,1890,1,943,2083,0
0,val,585,1624,0,791,1584,0
0,val,586,1991,1,990,601,0
0,val,587,361,0,2323,756,0
0,val,588,1248,0,230,685,0
0,val,589,21,1,2451,1904,0
0,val,590,1941,0,240,2148,0
0,val,591,629,1,2060,2191,0
0,val,592,1824,0,2260,2252,0
0,val,593,1473,1,813,1327,0
0,val,594,136,0,222,847,0
0,val,595,597,2,1243,2640,0
0,val,596,708,1,1863,893,0
0,val,597,42,4,483,2680,0
0,val,598,1593,1,543,445,0
0,val,599,696,0,1216,95,0
0,val,600,1190,1,1189,2597,0
0,val,601,372,0,983,2427,0
0,val,602,23,1,829,270,0
0,val,603,8,5,309,1403,0
0,val,604,1424,1,659,2714,0
0,val,605,2124,1,1790,1281,0
0,val,606,2222,1,1104,1766,0
0,val,607,1338,1,2588,621,0
0,val,608,2335,1,143,253,0
0,val,609,1973,0,833,2664,0
0,val,610,765,1,764,2709,0
0,val,611,1383,0,1922,515,0
0,val,612,691,0,2015,283,0
0,val,613,910,1,122,308,0
0,val,614,2267,1,972,1458,0
0,val,615,1145,0,401,289,0
0,val,616,751,0,983,2398,0
0,val,617,176,1,1837,245,0
0,val,618,815,2,355,1524,0
0,val,619,983,0,64,2066,0
0,val,620,999,4,2493,636,0
0,val,621,2023,1,1647,912,0
0,val,622,2294,3,1214,43,0
0,val,623,376,1,736,2128,0
0,val,624,1370,1,174,169,0
0,val,625,875,1,963,1339,0
0,val,626,1171,5,1859,106,0
0,val,627,104,1,1726,1754,0
0,val,628,2710,1,1281,1722,0
0,val,629,1132,1,1116,2019,0
0,val,630,2209,10,1026,2123,1
0,val,631,31,10,2313,2641,1
0,val,632,1958,13,474,2711,1
0,val,633,211,10,1751,813,1
0,val,634,395,10,1136,2716,1
0,val,635,997,11,66,2381,1
0,val,636,953,10,1196,186,1
0,val,637,577,9,2025,908,1
0,val,638,86,14,1168,2277,1
0,val,639,79,10,2424,2159,1
0,val,640,34,10,53,202,1
0,val,641,930,10,810,1653,1
0,val,642,810,9,2411,479,1
0,val,643,2625,15,2386,2088,1
0,val,644,1900,10,140,1336,1
0,val,645,2078,9,434,2456,1
0,val,646,2166,9,2515,1843,1
0,val,647,676,10,1474,2218,1
0,val,648,923,10,918,313,1
0,val,649,1098,10,552,1686,1
0,val,650,849,10,2582,2521,1
0,val,651,49,10,1397,157,1
0,val,652,662,10,2504,2614,1
0,val,653,1389,10,2311,1433,1
0,val,654,380,14,381,2662,1
0,val,655,1862,10,1863,2310,1
0,val,656,1399,10,2104,1846,1
0,val,657,2633,11,1765,2719,1
0,val,658,11,9,1722,747,1
0,val,659,2457,10,1338,2696,1
0,val,660,42,12,2022,740,1
0,val,661,976,10,312,1995,1
0,val,662,1809,9,2639,134,1
0,val,663,23,10,2133,100,1
0,val,664,357,10,396,1839,1
0,val,665,1656,13,1185,2342,1
0,val,666,1217,9,2619,1043,1
0,val,667,1270,10,2602,2010,1
0,val,668,1830,11,79,949,1
0,val,669,25,10,952,789,1
0,val,670,519,9,906,2336,1
0,val,671,1861,11,79,918,1
0,val,672,430,9,93,1540,1
0,val,673,918,14,2674,1312,1
0,val,674,143,9,1865,1098,1
0,val,675,1836,10,826,1385,1
0,val,676,2243,10,1205,221,1
0,val,677,1431,10,1432,2026,1
0,val,678,1018,9,1895,1372,1
0,val,679,1149,11,1202,531,1
0,val,680,2300,10,34,562,1
0,val,681,173,10,1087,536,1
0,val,682,2512,10,285,2118,1
0,val,683,1806,10,943,1785,1
0,val,684,1068,10,150,68,1
0,val,685,399,9,1123,1060,1
0,val,686,2115,13,317,2479,1
0,val,687,2013,10,363,1453,1
0,val,688,143,9,1429,560,1
0,val,689,230,9,2497,2405,1
0,val,690,256,9,1930,2459,1
0,val,691,620,10,2581,2596,1
0,val,692,936,10,751,46,1
0,val,693,583,10,2012,1436,1
0,val,694,1771,10,2653,665,1
0,val,695,1600,9,413,2081,1
0,val,696,334,10,12,1454,1
0,val,697,2132,14,671,1088,1
0,val,698,2655,10,2398,678,1
0,val,699,1467,13,2413,1206,1
0,val,700,249,12,287,815,1
0,val,701,2054,10,1859,987,1
0,val,702,140,10,1900,1480,1
0,val,703,10,10,327,25,1
0,val,704,1806,10,862,2401,1
0,val,705,2273,10,2614,2509,1
0,val,706,225,10,1770,2062,1
0,val,707,1260,10,1975,1296,1
0,val,708,409,10,459,78,1
0,val,709,2516,9,1796,2694,1
0,val,710,102,10,54,241,1
0,val,711,810,9,5,882,1
0,val,712,62,10,2561,2545,1
0,val,713,2142,10,797,337,1
0,val,714,2154,9,2299,2509,1
0,val,715,1722,10,8,55,1
0,val,716,1087,10,173,460,1
0,val,717,803,9,114,213,1
0,val,718,847,10,848,2574,1
0,val,719,1538,10,537,2159,1
0,val,720,1502,9,871,260,1
0,val,721,1790,9,1391,298,1
0,val,722,271,10,329,2277,1
0,val,723,426,10,427,135,1
0,val,724,665,10,295,1967,1
0,val,725,439,10,1705,613,1
0,val,726,561,9,1860,1190,1
0,val,727,1765,11,764,2722,1
0,val,728,2599,10,1016,1117,1
0,val,729,1075,10,641,147,1
0,val,730,932,9,139,354,1
0,val,731,12,9,2421,1103,1
0,val,732,151,10,452,1359,1
0,val,733,1613,14,1472,1721,1
0,val,734,1621,11,997,2426,1
0,val,735,978,10,1230,1966,1
0,val,736,29,10,1280,2349,1
0,val,737,1504,10,2092,2633,1
0,val,738,1319,10,2455,2356,1
0,val,739,211,10,2255,68,1
0,val,740,767,13,77,2737,1
0,val,741,1952,10,150,63,1
0,val,742,2187,10,637,1437,1
0,val,743,981,10,35,1214,1
0,val,744,1235,9,1428,915,1
0,val,745,928,13,1148,2587,1
0,val,746,843,10,1056,349,1
0,val,747,1348,9,1230,1909,1
0,val,748,879,10,79,804,1
0,val,749,554,10,2519,2551,1
0,val,750,283,9,631,2087,1
0,val,751,1945,10,564,1258,1
0,val,752,1136,10,1137,1613,1
0,val,753,1641,9,738,1021,1
0,val,754,1190,10,2472,2634,1
0,val,755,347,10,1245,1148,1
0,val,756,64,10,672,1088,1
0,val,757,1854,10,233,2434,1
0,val,758,1964,10,1965,2638,1
0,val,759,1661,9,1415,1310,1
0,val,760,237,10,238,262,1
0,val,761,941,10,1999,2472,1
0,val,762,969,9,2196,1921,1
0,val,763,1488,10,2384,2260,1
0,val,764,912,10,462,1459,1
0,val,765,957,12,1896,1954,1
0,val,766,849,10,1722,711,1
0,val,767,798,14,631,2057,1
0,val,768,550,10,2456,2531,1
0,val,769,660,10,1286,1528,1
0,val,770,1353,10,2237,2593,1
0,val,771,2611,10,1279,2355,1
0,val,772,234,11,116,734,1
0,val,773,328,9,777,100,1
0,val,774,194,10,2134,1653,1
0,val,775,494,9,2013,2662,1
0,val,776,1420,10,853,113,1
0,val,777,34,10,10,939,1
0,val,778,148,10,1710,1021,1
0,val,779,561,10,215,2165,1
0,val,780,468,10,1986,2564,1
0,val,781,479,9,952,591,1
0,val,782,992,10,1859,1176,1
0,val,783,1988,14,1569,2224,1
0,val,784,525,9,756,502,1
0,val,785,461,10,140,2646,1
